Nr ,Tytu³ ,"Rok bitwy, kampanii lub wojny ",Autor ,Wydanie 
1,Berlin 1945 ,1945,Zdzis³aw St¹por ,"1980, 2005, 2015* "
2,Wiedeñ 1683 ,1683,Leszek Podhorodecki ,"1980, 1983, 2001, 2012 "
3,Grochów 1831 ,1831,Wies³aw Majewski ,1982
4,Budziszyn 1945 ,1945,Kazimierz Kaczmarek ,1982
5,Po³tawa 1709 ,1709,W³adys³aw A. Serczyk ,"1982, 2004 "
6,Okinawa 1945 ,1945,Antoni Wolny ,"1983, 2004 "
7,Kursk 1943 ,1943,Antoni Karpiñski ,1983
8,Lenino 1943 ,1943,Kazimierz Sobczak ,1983
9,Waterloo 1815 ,1815,Tomasz Malarski ,"1984, 1997, 2003, 2015* "
10,Bzura 1939 ,1939,Tadeusz Jurga ,"1984, 2001*, 2013* "
11,Saratoga–Yorktown 1777–1781 ,1777,Izabella Rusinowa ,1984
12,Kanny 216 p.n.e. ,-216,Janusz Sikorski ,"1984, 2012 "
13,Tenochtitlan 1521 ,1521,Ryszard Tomicki ,1984
14,Leningrad 1941–1944 ,1941,Ryszard Dzieszyñski ,"1986, 2012* "
15,Crécy–Orlean 1346–1429 ,1346,Edward Potkowski ,1986
16,Stalingrad 1942–1943 ,1942,Kazimierz Kaczmarek ,1986
17,Kulikowe Pole 1380 ,1380,Leszek Podhorodecki ,"1986, 2008 "
18,Szypka i Plewna 1877 ,1877,Bogus³aw Brodecki ,"1986, 2010 "
19,Akcjum 31 p.n.e. ,-31,Andrzej Murawski ,"1986, 2003, 2024 "
20,Madryt 1936–1937 ,1936,Lech Wyszczelski ,1986
21,Bolonia 1945 ,1945,Witold Biegañski ,1986
22,Zatoka Œwie¿a 1463 ,1463,Józef Wies³aw Dyskant ,"1987, 2009 "
23,Kircholm 1605 ,1605,Henryk Wisner ,"1987, 2005, 2016 "
24,Moskwa 1941 ,1941,Wies³aw Wróblewski ,1987
25,"Sewastopol 1941–1942, 1944 ",1941,Tadeusz Konecki ,1987
26,Kostrzyn 1945 ,1945,Andrzej Toczewski ,1987
27,Chocim 1621 ,1621,Leszek Podhorodecki ,"1988, 2008, 2015 "
28,Gaugamela 331 p.n.e. ,-331,Edward D¹browa ,"1988, 2010 "
29,Narwik 1940 ,1940,Janusz Odziemkowski ,"1988, 2013 "
30,Somosierra 1808 ,1808,Robert Bielecki ,1989
31,Cuszima 1905 ,1905,Józef Dyskant ,1989
32,Dien Bien Phu 1954 ,1954,Bogus³aw Brodecki ,"1989, 1999, 2022 "
33,Warszawa 1656 ,1656,Miros³aw Nagielski ,"1990, 2009* "
34,Lipsk 1813 ,1813,Jadwiga Nadzieja ,"1990, 1998, 2013 "
35,Berezyna 1812 ,1812,Robert Bielecki ,1990
36,Marengo 1800 ,1800,S³awomir Leœniewski ,"1990, 2010 "
37,Podhajce 1698 ,1698,Janusz Wojtasik ,"1990, 2008 "
38,Valmy 1792 ,1792,Bogdan Borucki ,1990
39,Wielka Brytania 1940 ,1940,Wac³aw Król ,"1990, 1996, 1999 "
40,Maciejowice 1794 ,1794,Wojciech Miku³a ,1991
41,Warna 1444 ,1444,Edward Potkowski ,"1990, 2004 "
42,Gettysburg 1863 ,1863,Grzegorz Swoboda ,"1991, 1999* "
43,Bastylia 1789 ,1789,Robert Bielecki ,1991
44,Normandia 1944 ,1944,Robert Bielecki ,1991
45,Niemen 1920 ,1920,Lech Wyszczelski ,"1991, 2008 "
46,Gorlice 1915 ,1915,Micha³ Klimecki ,"1991, 2009 "
47,Midway 1942 ,1942,Maciej Borkowski ,1992
48,Lissa 1866 ,1866,Piotr Olender ,"1993, 2010 "
49,Lepanto 1571 ,1571,Leszek Podhorodecki ,"1993, 2010 "
50,Grunwald 1410 ,1410,Andrzej Nadolski ,"1993, 1996, 2003, 2010 "
51,Austerlitz 1805 ,1805,Robert Bielecki ,1993
52,Tobruk 1941–1942 ,1941,Zbigniew Kwiecieñ ,1993
53,Wagram 1809 ,1809,S³awomir Leœniewski ,"1993, 2003 "
54,Bitwa Jutlandzka 1916 ,1916,Zbigniew Flisowski ,1994
55,Beresteczko 1651 ,1651,Romuald Romañski ,"1994, 2007 "
56,Zamoœæ 1813 ,1813,Jadwiga Nadzieja ,1994
57,Leyte 1944 ,1944,Zbigniew Flisowski ,"1994, 2004 "
58,Kliszów 1702 ,1702,Marek Wagner ,1994
59,Obertyn 1531 ,1531,Marek Plewczyñski ,"1994, 2008, 2020, 2025 "
60,Maraton 490 p.n.e. ,-490,Ryszard Kulesza ,"1995, 2021 "
61,Jalu 1894 ,1894,Tadeusz Maria Gelewski ,1995
62,Batoh 1652 ,1652,Wojciech Jacek D³ugo³êcki ,"1995, 2008 "
63,Sycylia 1943 ,1943,Jerzy Naziêb³o ,1995
64,Warszawa 1920 ,1920,Lech Wyszczelski ,"1995, 2005*, 2010* "
65,Jerozolima 1099 ,1099,S³awomir Leœniewski ,"1995, 2008, 2021 "
66,Santiago 1898 ,1898,Bogus³aw W. Winid ,1995
67,Cudnów 1660 ,1660,Romuald Romañski ,"1996, 2008 "
68,Legnica 1241 ,1241,Jerzy Maroñ ,"1996, 2008, 2017 "
69,Port Artur 1904 ,1904,Józef Dyskant ,1996
70,Alamo–San Jacinto 1836 ,1836,Jaros³aw Wojtczak ,"1996, 2021 "
71,El Alamein 1942 ,1942,Stefan Czmur ,1997
72,Kunersdorf 1759 ,1759,Miros³aw G. PrzeŸdziecki ,1997
73,Raszyn 1809 ,1809,Romuald Romañski ,"1997, 2007 "
74,Ateny–Sparta 431–404 p.n.e. ,-431,Ryszard Kulesza ,"1997, 2021, 2025 "
75,Little Big Horn 1876 ,1876,Grzegorz Swoboda ,"1998, 2017*, 2023 "
76,Lwów 1918–1919 ,1918,Micha³ Klimecki ,"1998, 2011 "
77,Meksyk 1847 ,1847,Jaros³aw Wojtczak ,"1998, 2009, 2021, 2024 "
78,Warszawa 1831 ,1831,Tomasz Strze¿ek ,"1998, 2010 "
79,Ko Chang 1941 ,1941,Józef Dyskant ,"1999, 2003* "
80,Kijów 1920 ,1920,Lech Wyszczelski ,1999
81,Egipt 1798–1801 ,1798,Tomasz Rogacki ,1999
82,G³ogów 1109 ,1109,Karol Olejnik ,1999
83,Iganie 1831 ,1831,Tomasz Strze¿ek ,1999
84,£uk Donu 1942–1943 ,1942,Péter Szabó ,2000
85,Naseby 1645 ,1645,Jaros³aw Wojtczak ,"2000, 2025 "
86,Zieleñce–Mir–Dubienka 1792 ,1792,Piotr Derdej ,2000
87,Orsza 1514 ,1514,Piotr Dró¿d¿ ,"2000, 2014 "
88,Czortków 1919 ,1919,Micha³ Klimecki ,"2000, 2022 "
89,Quebec 1759 ,1759,Jaros³aw Wojtczak ,"2000, 2021 "
90,Nowy Orlean 1815 ,1815,Robert K³osowicz ,2000
91,Przedmoœcie Rumuñskie 1939 ,1939,Wojciech W³odarkiewicz ,"2001, 2013 "
92,Smoleñsk 1632–1634 ,1632,Dariusz Kupisz ,"2001, 2017* "
93,Prostki 1656 ,1656,S³awomir Augusiewicz ,2001
94,Szack–Wytyczno 1939 ,1939,Czes³aw Grzelak ,"2001, 2022 "
95,Strzegom–Dobromierz 1745 ,1745,Robert Kisiel ,2001
96,Benewent 275 p.n.e. ,-275,Krzysztof Kêciek ,"2001, 2021 "
97,Oliwa 1627 ,1627,Eugeniusz Koczorowski ,"2001, 2008 "
98,Budapeszt 1944–1945 ,1944,Marcin Sowa ,2002
99,Wilno–Grodno–Kodziowce 1939 ,1939,Czes³aw Grzelak ,2002
100,Kynoskefalaj 197 p.n.e. ,-197,Krzysztof Kêciek ,"2002, 2009, 2021 "
101,Big Hole 1877 ,1877,Jaros³aw Wojtczak ,"2002, 2022 "
102,£uck 1916 ,1916,Stanis³aw Czerep ,2002
103,Cedynia 972 ,972,Pawe³ Rochala ,"2002, 2013 "
104,Trafalgar 1805 ,1805,Józef Dyskant ,2002
105,Borodino 1812 ,1812,Piotr Dró¿d¿ ,2003
106,Bannockburn 1314 ,1314,Jaros³aw Wojtczak ,"2003, 2011 "
107,Lwów 1939 ,1939,Wojciech W³odarkiewicz ,"2003, 2007 "
108,Farsalos 48 p.n.e. ,-48,Romuald Romañski ,"2003,2022"
109,Magnezja 190 p.n.e. ,-190,Krzysztof Kêciek ,"2003, 2021 "
110,Batoche 1885 ,1885,Grzegorz Swoboda ,2003
111,Wietnam 1962–1975 ,1962,Artur Dmochowski ,2003
112,Hastings 1066 ,1066,Jacek Soszyñski ,2003
113,Falaise 1944 ,1944,Jadwiga Nadzieja ,"2003, 2022 "
114,Praga 1757 ,1757,Robert Kisiel ,2003
115,Po³ock 1579 ,1579,Dariusz Kupisz ,"2003, 2014 "
116,Warka–Gniezno 1656 ,1656,Pawe³ Skworoda ,2003
117,K³uszyn 1610 ,1610,Robert Szczeœniak ,"2004, 2008, 2016 "
118,Hattin 1187 ,1187,Piotr Biziuk ,"2004, 2022 "
119,¯ó³te Wody–Korsuñ 1648 ,1648,Witold Biernacki ,"2004, 2008 "
120,Pruska I³awa 1807 ,1807,Tomasz Rogacki ,2004
121,Ardeny 1944–1945 ,1944,Norbert B¹czyk ,"2004, 2022 "
122,Niemcza 1017 ,1017,Pawe³ Rochala ,"2004, 2017, 2025 "
123,Malta 1565 ,1565,Andrzej Zieliñski ,"2004, 2015 "
124,Vicksburg 1862–1863 ,1862,Jaros³aw Wojtczak ,"2004, 2022 "
125,Koronowo 1410 ,1410,Piotr Derdej ,"2004, 2008 "
126,Powstanie Mahdiego 1881–1899 ,1881,Daniel Gazda ,2004
127,Tarutino 1812 ,1812,Andrzej Dusiewicz ,2004
128,Moskwa 1612 ,1612,Tomasz Bohun ,"2005, 2007, 2023 "
129,Galicja Wschodnia 1920 ,1920,Micha³ Klimecki ,2005
130,Inczhon–Seul 1950 ,1950,Robert K³osowicz ,2005
131,Babilon 729–648 p.n.e. ,-729,Piotr Biziuk ,"2005, 2020, 2024 "
132,Pola Katalaunijskie 451 ,451,Daniel Gazda ,"2005, 2010 "
133,Las Teutoburski 9 rok n.e. ,9,Pawe³ Rochala ,"2005, 2008 "
134,Magenta–Solferino 1859 ,1859,Ryszard Dzieszyñski ,2005
135,Po³onka–Basia 1660 ,1660,Marcin Gawêda ,2005
136,Siedmiogród 1944 ,1944,Marcin Sowa ,2005
137,Zbara¿ 1649 ,1649,Kacper Œledziñski ,2005
138,Tannenberg 1914 ,1914,Piotr Szlanta ,"2005, 2010, 2022 "
139,Detroit 1763 ,1763,Aleksander Sudak ,2006
140,Hammerstein 1627 ,1627,Pawe³ Skworoda ,2006
141,Dublin 1916 ,1916,Grzegorz Swoboda ,2006
142,Cajamarca 1532 ,1532,Andrzej Tarczyñski ,2006
143,Chancellorsville 1863 ,1863,Jan Szkudliñski ,2006
144,Przemyœl 1656–1657 ,1656,Andrzej Borcz ,"2006, 2015 "
145,Krym 1854–1855 ,1854,Micha³ Klimecki ,"2006, 2022 "
146,Warszawa 1944–1945 ,1944,Piotr Rozwadowski ,2006
147,Alezja 52 p.n.e. ,-52,Tomasz Romanowski ,2006
148,Moskwa 1617–1618 ,1617,Andrzej Adam Majewski ,"2006, 2016* "
149,Psków 1581–1582 ,1581,Dariusz Kupisz ,"2006, 2015* "
150,Civita Castellana 1798 ,1798,Marian Witasek ,2007
151,Falklandy–Port Stanley 1982 ,1982,Krzysztof Kubiak ,2007
152,Smoleñsk 1812 ,1812,Andrzej Dusiewicz ,2007
153,Navarino 1827 ,1827,Artur Bojarski ,2007
154,Sand Creek 1864 ,1864,Jaros³aw Wojtczak ,"2007, 2023 "
155,Cecora 1620 ,1620,Kacper Œledziñski ,"2007, 2014 "
156,Adrianopol 378. Rzeka Frigidus 394 ,378,Daniel Gazda ,"2007, 2021 "
157,Wyprawa sycylijska 415–413 p.n.e. ,-415,Grzegorz Lach ,2007
158,Charków–Donbas 1943 ,1943,£ukasz Przyby³o ,2007
159,Sadowa 1866 ,1866,Ryszard Dzieszyñski ,2007
160,Chocim 1673 ,1673,Damian Or³owski ,"2007, 2022 "
161,Afryka Wschodnia 1914–1918 ,1914,Pawe³ Brudek ,"2008, 2023 "
162,Konstantynopol 1453 ,1453,Marian Witasek ,2008
163,Ma³ojaros³awiec 1812 ,1812,Rafa³ Kowalczyk ,2008
164,Powstanie Spartakusa 73–71 p.n.e. ,-73,Bernard Nowaczyk ,2008
165,Blenheim–Höchstädt 1704 ,1704,Rafa³ Radziwonka ,2008
166,Boyne 1690 ,1690,Jaros³aw Wojtczak ,2008
167,Wilno 1919–1920 ,1919,Lech Wyszczelski ,2008
168,Fuengirola 1810 ,1810,Krzysztof Mazowski ,2008
169,Kartagina 149–146 p.n.e. ,-149,Bernard Nowaczyk ,2008
170,"Pekin, Szanghaj, Nankin 1937–1945 ",1937,Micha³ Klimecki ,2008
171,Kamieniec Podolski 1672 ,1672,Piotr Derdej ,2009
172,Miñsk Bia³oruski 1941 ,1941,S³awomir Kosim ,2009
173,Sedan 1870 ,1870,Ryszard Dzieszyñski ,2009
174,Monte Cassino 1944 ,1944,Zbigniew Wawer ,2009
175,Wojna meksykañska 1861–1867 ,1861,Jaros³aw Wojtczak ,"2009, 2022 "
176,Verdun 1916 ,1916,Jaros³aw Centek ,"2009, 2014 "
177,Masada 66–73 ,66,Bernard Nowaczyk ,"2009, 2023 "
178,Westerplatte–Oksywie–Hel 1939 ,1939,Piotr Derdej ,2009
179,Warszawa 1939 ,1939,Lech Wyszczelski ,2009
180,Rac³awice 1794 ,1794,Bart³omiej Szyndler ,2009
181,P³owce 1331 ,1331,Piotr Strzy¿ ,2009
182,Ba³kany 1912–1913 ,1912,Robert Rabka ,2010
183,Jutlandia 1916. Bitwa morska ,1916,Geoffrey Bennet ,2010
184,Kyme 474 p.n.e. ,-474,Marta Korczyñska-Zd¹b³arz ,2010
185,Boreml 1831 ,1831,Dariusz Ostapowicz ,2010
186,Ramillies 1706 ,1706,Rafa³ Radziwonka ,2010
187,Panama 1671 ,1671,Jaros³aw Molenda ,2010
188,Madagaskar 1942 ,1942,Józef Wies³aw Dyskant ,2010
189,Wojna zuluska 1879 ,1879,Piotr Fiszka-Borzyszkowski ,"2010, 2024 "
190,Samhorodek–Komarów 1920 ,1920,W³odzimierz Nowak ,2010
191,Chiny 1946–1949 ,1946,Jakub Polit ,2010
192,Salamina–Plateje 480–479 p.n.e. ,-480,Grzegorz Lach ,2010
193,Stoczek–Nowa Wieœ 1831 ,1831,Tomasz Strze¿ek ,2010
194,Ofensywa Tet 1968 ,1968,Przemys³aw Benken ,2010
195,Czesma 1770 ,1770,Piotr Olender ,2011
196,Jena i Auerstädt 1806 ,1806,S³awomir Leœniewski ,2011
197,Ostro³êka 1831 ,1831,Micha³ Leszczyñski ,2011
198,Wojny markomañskie 162–185 n.e. ,162,Marek Olêdzki ,"2011, 2023* "
199,Wojna paragwajska 1864–1870 ,1864,Jaros³aw Wojtczak ,2011
200,Somma 1916 ,1916,Jaros³aw Centek ,2011
201,Vilcabamba 1572 ,1572,Roman Warszewski ,2011
202,Puszcza Kampinoska–Jaktorów 1944 ,1944,Szymon Nowak ,2011
203,Polesie 1939 ,1939,Wojciech W³odarkiewicz ,2011
204,Pearl Harbor 1941 ,1941,Jaros³aw Jastrzêbski ,2011
205,Ayacucho 1824 ,1824,Jaros³aw Spyra ,2011
206,Konstantynopol 1204 ,1204,S³awomir Leœniewski ,"2012, 2022 "
207,Wojna burska 1880–1881 ,1880,Piotr Fiszka-Borzyszkowski ,"2012, 2023 "
208,Amida 359 ,359,Tomasz Szel¹g ,2012
209,Insurekcja warszawska 1794 ,1794,Wojciech Kêpka-Mariañski ,2012
210,Culloden Moor 1746 ,1746,Jaros³aw Wojtczak ,2012
211,Fort Pillow 1864 ,1864,Micha³ Staniszewski ,2012
212,"Chojnice 1454, Œwiecino 1462 ",1454,Bernard Nowaczyk ,2012
213,Wojny guarañskie 1628–1756 ,1628,Jaros³aw Molenda ,2012
214,Boliwia 1966–1967 ,1966,Roman Warszewski ,2012
215,Kampania Langiewicza 1863 ,1863,Wojciech Kalwat ,2012
216,Guadalcanal 1942–1943 ,1942,Micha³ A. Piegzik ,2013
217,Góry Pindos 1943–1949 ,1943,Andrzej Murawski ,2013
218,Flandria 1940 ,1940,Pawe³ Korzeniowski ,2013
219,Texel 1673 ,1673,"Maciej Franz, Anna Pastorek ",2013
220,Kleidion 1014 ,1014,£ukasz Migniewicz ,2013
221,Antietam 1862 ,1862,Piotr Groblewski ,2013
222,Vercellae 101 p.n.e. ,-101,Pawe³ Rochala ,"2013, 2021, 2023 "
223,Wilno 1944 ,1944,Leszek Kania ,2013
224,I³¿a 1939 ,1939,Piotr Zarzycki ,2013
225,Atlantyk 1939–1945 ,1939,Tomasz Fija³kowski ,2013
226,Cuzco 1536–1537 ,1536,Roman Warszewski ,2013
227,Minnesota 1862 ,1862,Jaros³aw Wojtczak ,2014
228,Aleksandria 1365 ,1365,£ukasz Burkiewicz ,2014
229,Cambrai 1917 ,1917,Krzysztof Plewako ,2014
230,Wojna Czu z Han 209–202 p.n.e ,-209,Maciej Kuczyñski ,"2014, 2023 "
231,Lwów 1920 ,1920,Lech Wyszczelski ,2014
232,Holenderskie Indie Wschodnie 1942 ,1942,Micha³ A. Piegzik ,2014
233,Limanowa 1914 ,1914,Wac³aw Polakiewicz ,2014
234,Chojnice 1939 ,1939,"Andrzej Lorbiecki, Marcin Wa³doch ",2014
235,Pomorze 1945 ,1945,Marcin Leszczyñski ,2014
236,Ipsos 301 p.n.e ,-301,Grzegorz Lach ,2014
237,Kongo 1965 ,1965,Roman Warszewski ,2014
238,Festung Küstrin 1945 ,1945,Andrzej Toczewski ,2015
239,Callao 1866 ,1866,Jaros³aw Wojtczak ,2015
240,Kraków 1768–1772 ,1768,Ryszard Dzieszyñski ,2015
241,Kreta 1941 ,1941,Tomasz Jarmo³a ,"2015, 2024 "
242,Crotone 982 ,982,Robert F. Barkowski ,"2015, 2023 "
243,Bolimów 1915 ,1915,Stanis³aw Kaliñski ,"2015, 2021 "
244,Pomorze 1920 ,1920,Wojciech Zawadzki ,2015
245,Ignacewo 1863 ,1863,Maciej Grzeszczak ,2015
246,Po³abie 983 ,983,Robert F. Barkowski ,2015
247,Manzikert 1071 ,1071,Stanis³aw Rek ,"2015, 2022 "
248,Filipiny 1898–1902 ,1898,Jaros³aw Wojtczak ,2015
249,Macedonia–Epir–Albania 1912–1913 ,1912,Robert Rabka ,2016
250,Poitiers 732 ,732,Robert F. Barkowski ,"2016, 2020 "
251,Kosowe Pole 1389 ,1389,Stanis³aw Rek ,2016
252,Kuba 1958–1959 ,1958,Roman Warszewski ,2016
253,Indie–Pakistan 1971 ,1971,Jaros³aw Dobrzelewski ,2016
254,Nad Wieprzem 1920 ,1920,Piotr Krukowski ,2016
255,Lechowe Pole 955 ,955,Robert F. Barkowski ,"2016, 2023 "
256,Morze Koralowe 1942 ,1942,Micha³ A. Piegzik ,2016
257,Wo³yñ 1939 ,1939,Wojciech W³odarkiewicz ,2016
258,Ktezyfont 363 ,363,Adrian Drabik ,2016
259,Massalia 49 p.n.e. ,-49,Tomasz Romanowski ,2016
260,Natal 1899–1900 ,1899,Tomasz Greniuch ,2017
261,Krucjata po³abska 1147 ,1147,Robert F. Barkowski ,"2017, 2023 "
262,Getto warszawskie 1943 ,1943,Tomasz Kubicki ,2017
263,Kostiuchnówka 1916 ,1916,Tomasz Dudek ,2017
264,La Plata 1806–1807 ,1806,Jaros³aw Wojtczak ,2017
265,Kana³ Sueski 1956 ,1956,Roman Marcinek ,2017
266,Syberia 1581–1697 ,1581,Robert F. Barkowski ,2017
267,Miñsk 1919 ,1919,Lech Wyszczelski ,2017
268,Pó³nocny Atlantyk 1914–1918 ,1914,Tomasz Fija³kowski ,2017
269,Bosworth 1485 ,1485,Jaros³aw Wojtczak ,2017
270,Byczyna 1588 ,1588,Ryszard Dzieszyñski ,2017
271,Konstantynopol 626 ,626,£ukasz Czarnecki ,2017
272,Budziszyn 1002–1018 ,1002,Robert F. Barkowski ,"2018, 2025 "
273,Cholula 1519 ,1519,Roman Warszewski ,2018
274,Brytania 55–54 p.n.e. ,-55,Tomasz Romanowski ,2018
275,Kraœnik 1914 ,1914,Jan B³achnio ,2018
276,Operacja Ho Chi Minh 1975 ,1975,Janusz Lizut ,2018
277,P³ock 1920 ,1920,Grzegorz Go³êbiewski ,2018
278,Grenada 1492 ,1492,Roman Warszewski ,2018
279,Pary¿ 885–886 ,885,Robert F. Barkowski ,"2018, 2023 "
280,Kadyks 1810–1812 ,1810,Krzysztof Mazowski ,2018
281,Powstanie Wielkopolskie 1918–1919 ,1918,Lech Wyszczelski ,2018
282,Jezioro Pejpus 1242 ,1242,Jerzy Pluta ,2018
283,Rawicz 1919 ,1919,Jakub Staszak ,2019
284,Kijów 1018 ,1018,Robert F. Barkowski ,2019
285,Amiens 1918 ,1918,Witold £awrynowicz ,2019
286,W³oc³awek 1914 ,1914,Tomasz Cybulski ,2019
287,Ankara 1402 ,1402,Stanis³aw Rek ,"2019, 2025 "
288,Ulm 1805 ,1805,Robert F. Barkowski ,2019
289,Ocean Indyjski 1942 ,1942,Micha³ A. Piegzik ,2019
290,Smoleñsk 1609–1611 ,1609,Katarzyna S³odowy ,2019
291,Dworzec Gdañski 1944 ,1944,Szymon Nowak ,2019
292,Przebra¿e 1943 ,1943,Tomasz Dudek ,2019
293,Kraków 1655–1657 ,1655,Ryszard Dzieszyñski ,2019
294,Myriokefalon 1176 ,1176,Stanis³aw Rek ,2019
295,Hydaspes 326 p.n.e. ,-326,Micha³ Piekarski ,2019
296,Torres Vedras 1810 ,1810,Krzysztof Mazowski ,2019
297,Beer Szewa 1917 ,1917,Jaros³aw Wojtczak ,2020
298,Siemiatycze 1863 ,1863,Ernest Szum ,2020
299,Galia belgijska 57–51 p.n.e. ,-57,Tomasz Romanowski ,2020
300,Mohacz 1526 ,1526,Stanis³aw Rek ,2020
301,Don 1917–1918 ,1917,Krzysztof Marcinek ,2020
302,Nasielsk 1920 ,1920,Lech Wyszczelski ,2020
303,Ciechanów 1920 ,1920,Lech Wyszczelski ,2020
304,Wyspy Brytyjskie 1940 ,1940,"Robert Gretzyngier, Wojciech Matusiak ",2020
305,Ma³opolska Wschodnia 1939 ,1939,Wojciech W³odarkiewicz ,2020
306,Konungahella 1135 ,1135,Robert F. Barkowski ,"2020, 2025 "
307,Karpacka kampania Legionów Polskich 1914–1915 ,1914,Tomasz Dudek ,2020
308,I³¿a 1864 ,1864,Grzegorz Cwyl ,2021
309,Fulford–Stamford Bridge 1066 ,1066,Cezary Namirski ,2021
310,Nikopolis 1396 ,1396,Stanis³aw Rek ,2021
311,Góra œw Anny–Kêdzierzyn 1921 ,1921,Leszek Kania ,2021
312,Zawichost 1205 ,1205,Artur Foryt ,2021
313,Rugia 1168 ,1168,Robert F. Barkowski ,2021
314,Lwów 1944 ,1944,Damian Karol Markowski ,2021
315,Saragossa 1808–1809 ,1808,Krzysztof Mazowski ,2021
316,Marna 1914 ,1914,Jaros³aw Centek ,2021
317,"Krym, Donieck, £ugañsk 2014–2015 ",2014,Micha³ Klimecki ,2021
318,Gabiene 316 p.n.e. ,-316,Micha³ Piekarski ,2021
319,Fallen Timbers 1794 ,1794,Jaros³aw Wojtczak ,2021
320,"Zaolzie 1919, 1938 ",1919,Lech Wyszczelski ,"2022, 2024 "
321,Kadesz 1274 p.n.e. ,-1274,Dominik Stasiak ,2022
322,Pomorze 1807 ,1807,Szymon Jagodziñski ,2022
323,Gallipoli 1915–1916 ,1915,Pawe³ Korzeniowski ,2022
324,Fontenoy 841 ,841,Robert F. Barkowski ,2022
325,Aleuty 1942–1943 ,1942,Micha³ A. Piegzik ,2022
326,Saint-Nazaire–Dieppe 1942 ,1942,Tomasz Jarmo³a ,2022
327,Powstanie wielkopolskie 1655–1657 ,1655,Bartosz Starêgowski ,2022
328,Czerniaków 1944 ,1944,Szymon Nowak ,2022
329,Las Argoñski 1918 ,1918,Jaros³aw Wojtczak ,2022
330,Mazowsze 1047 ,1047,Mariusz Samp ,2022
331,Oravais 1808 ,1808,Krzysztof Mazowski ,2023
332,Smyrna 1919–1922 ,1919,Stanis³aw Rek ,2023
333,Pomorze Zachodnie 1185 ,1185,Robert F. Barkowski ,2023
334,Kraków 1914 ,1914,Henryk £ukasik ,2023
335,Weje 405–396 p.n.e. ,-405,Daniel Gazda ,2023
336,Clontarf 1014 ,1014,Cezary Namirski ,2023
337,Newel 1562 ,1562,Marek Plewczyñski ,2023
338,Arras 1917 ,1917,Witold £awrynowicz ,2023
339,Trembowla 1675 ,1675,Marek Wagner ,2023
340,Tomaszów Lubelski 1939 ,1939,Piotr Greszta ,2023
341,Lenino 1943 ,1943,Kamil Andu³a ,2023
342,Bibracte-Wogezy 58 p.n.e. ,-58,Tomasz Romanowski ,2023
343,Pu³tusk-Go³ymin 1806 ,1806,Szymon Jagodziñski ,2023
344,Kraj G³omaczów 1003 ,1003,Mariusz Samp ,2024
345,Termopile 480 p.n.e. ,-480,Pawe³ Kupsik ,2024
346,Katanga 1960-1963 ,1960,Daniel Kowalczuk ,2024
347,Meksyk 1810-21 ,1810,Jaros³aw Wojtczak ,2024
348,Morze Filipiñskie 1944 ,1944,Grzegorz Jeziorny ,2024
349,Bejrut 1982 ,1982,Krzysztof Mroczkowski ,2024
350,Lützen 1632 ,1632,Marek Wagner ,2024
351,Halidon Hill 1333 ,1333,Cezary Namirski ,2024
352,Tynne 1939 ,1939,Grzegorz Cwyl ,2024
353,Askulum 90-89 p.n.e ,-90,Ma³gorzata Cz³onkowska-Naumiuk ,2024
354,Frydland 1807 ,1807,Szymon Jagodziñski ,2024
355,Nysa £u¿ycka-£aba 1945 ,1945,Leszek Kania ,2024
356,Dyrrachium 1081-1085 ,1081,Robert F. Barkowski ,2025
357,Nak³o 1109 ,1109,Mariusz Samp ,2025
358,Paardeberg 1900 ,1900,Tomasz Greniuch ,2025
359,Gorlice-Tarnów 1915 ,1915,Piotr Szlanta ,2025
360,Szwecja 1598-1599 ,1598,Wojciech Krawczuk ,2025
